symbol,expiry,strike,option_type,bid,ask,last,volume,open_interest,timestamp,delta,gamma,theta,vega,implied_vol
AAPL,2025-01-24,170.00,call,5.10,5.25,5.15,1520,8450,2025-01-15T10:30:00Z,0.72,0.035,-0.12,0.18,0.24
AAPL,2025-01-24,172.50,call,3.20,3.35,3.25,890,5230,2025-01-15T10:30:00Z,0.58,0.042,-0.14,0.21,0.23
AAPL,2025-01-24,175.00,call,1.75,1.85,1.80,2450,12340,2025-01-15T10:30:00Z,0.42,0.048,-0.15,0.22,0.22
AAPL,2025-01-24,177.50,call,0.85,0.92,0.88,1680,7890,2025-01-15T10:30:00Z,0.28,0.045,-0.13,0.19,0.22
AAPL,2025-01-24,180.00,call,0.38,0.43,0.40,3210,15670,2025-01-15T10:30:00Z,0.16,0.038,-0.10,0.15,0.23
AAPL,2025-01-24,170.00,put,0.62,0.68,0.65,980,4560,2025-01-15T10:30:00Z,-0.28,0.035,-0.08,0.18,0.24
AAPL,2025-01-24,172.50,put,1.15,1.25,1.20,720,3890,2025-01-15T10:30:00Z,-0.42,0.042,-0.10,0.21,0.23
AAPL,2025-01-24,175.00,put,2.20,2.32,2.25,540,2780,2025-01-15T10:30:00Z,-0.58,0.048,-0.12,0.22,0.22
AAPL,2025-02-07,170.00,call,6.40,6.55,6.48,890,12340,2025-01-15T10:30:00Z,0.68,0.025,-0.08,0.28,0.23
AAPL,2025-02-07,175.00,call,3.80,3.95,3.88,1450,18560,2025-01-15T10:30:00Z,0.52,0.032,-0.09,0.32,0.22
AAPL,2025-02-07,180.00,call,1.95,2.08,2.00,2340,22890,2025-01-15T10:30:00Z,0.35,0.035,-0.09,0.30,0.22
AAPL,2025-02-07,185.00,call,0.88,0.95,0.92,1780,14560,2025-01-15T10:30:00Z,0.22,0.030,-0.07,0.25,0.23
AAPL,2025-02-21,170.00,call,8.20,8.40,8.30,560,8970,2025-01-15T10:30:00Z,0.65,0.018,-0.06,0.38,0.22
AAPL,2025-02-21,175.00,call,5.40,5.58,5.48,980,14560,2025-01-15T10:30:00Z,0.52,0.022,-0.07,0.42,0.22
AAPL,2025-02-21,180.00,call,3.25,3.40,3.32,1560,21340,2025-01-15T10:30:00Z,0.40,0.025,-0.07,0.43,0.21
AAPL,2025-02-21,185.00,call,1.75,1.88,1.80,2120,28760,2025-01-15T10:30:00Z,0.28,0.024,-0.06,0.38,0.22
AAPL,2025-02-21,190.00,call,0.85,0.95,0.90,1680,18970,2025-01-15T10:30:00Z,0.18,0.020,-0.05,0.32,0.23
MSFT,2025-01-24,375.00,call,5.80,6.00,5.90,680,4560,2025-01-15T10:30:00Z,0.65,0.012,-0.18,0.35,0.21
MSFT,2025-01-24,380.00,call,3.20,3.40,3.30,920,6780,2025-01-15T10:30:00Z,0.48,0.015,-0.20,0.38,0.20
MSFT,2025-01-24,385.00,call,1.45,1.58,1.52,1340,8920,2025-01-15T10:30:00Z,0.32,0.016,-0.18,0.35,0.20
MSFT,2025-01-24,390.00,call,0.55,0.65,0.60,890,5670,2025-01-15T10:30:00Z,0.18,0.014,-0.14,0.28,0.21
MSFT,2025-02-07,375.00,call,8.40,8.65,8.52,450,5890,2025-01-15T10:30:00Z,0.62,0.009,-0.12,0.52,0.20
MSFT,2025-02-07,380.00,call,5.60,5.80,5.70,720,8450,2025-01-15T10:30:00Z,0.52,0.011,-0.13,0.55,0.20
MSFT,2025-02-07,385.00,call,3.35,3.52,3.42,1120,12340,2025-01-15T10:30:00Z,0.40,0.012,-0.13,0.52,0.20
MSFT,2025-02-07,390.00,call,1.80,1.95,1.88,980,9870,2025-01-15T10:30:00Z,0.28,0.012,-0.11,0.48,0.20
MSFT,2025-02-07,395.00,call,0.88,1.00,0.94,670,6540,2025-01-15T10:30:00Z,0.18,0.010,-0.09,0.40,0.21
MSFT,2025-02-21,380.00,call,8.20,8.45,8.32,340,4560,2025-01-15T10:30:00Z,0.55,0.008,-0.09,0.68,0.19
MSFT,2025-02-21,385.00,call,5.80,6.00,5.90,560,7890,2025-01-15T10:30:00Z,0.45,0.009,-0.09,0.70,0.19
MSFT,2025-02-21,390.00,call,3.85,4.05,3.95,890,11230,2025-01-15T10:30:00Z,0.36,0.010,-0.09,0.68,0.19
MSFT,2025-02-21,395.00,call,2.35,2.52,2.42,720,8560,2025-01-15T10:30:00Z,0.27,0.010,-0.08,0.62,0.20
MSFT,2025-02-21,400.00,call,1.32,1.48,1.40,540,6780,2025-01-15T10:30:00Z,0.19,0.009,-0.07,0.55,0.20
